"","ordinal","onset","offset","code","dur","moments","subj","clip"
"003KII_01.csv.1",0,0,11288,"s",11288,"003KII_01.csv.1","003KII","003KII_01"
"003KII_01.csv.2",1,11289,48559,"m",37270,"003KII_01.csv.2","003KII","003KII_01"
"003KII_01.csv.3",2,48560,82970,"s",34410,"003KII_01.csv.3","003KII","003KII_01"
"003KII_01.csv.4",3,82971,104112,"m",21141,"003KII_01.csv.4","003KII","003KII_01"
"003KII_01.csv.5",4,104113,116320,"s",12207,"003KII_01.csv.5","003KII","003KII_01"
"003KII_01.csv.6",5,116321,136779,"m",20458,"003KII_01.csv.6","003KII","003KII_01"
"003KII_01.csv.7",6,136780,148080,"s",11300,"003KII_01.csv.7","003KII","003KII_01"
"003KII_01.csv.8",7,148081,153233,"m",5152,"003KII_01.csv.8","003KII","003KII_01"
"003KII_01.csv.9",8,153234,167834,"s",14600,"003KII_01.csv.9","003KII","003KII_01"
"003KII_01.csv.10",9,167835,173384,"m",5549,"003KII_01.csv.10","003KII","003KII_01"
"003KII_01.csv.11",10,173385,295161,"s",121776,"003KII_01.csv.11","003KII","003KII_01"
"003KII_02.csv.1",0,0,331085,"s",331085,"003KII_02.csv.1","003KII","003KII_02"
"003KII_02.csv.2",1,331086,361676,"m",30590,"003KII_02.csv.2","003KII","003KII_02"
"003KII_02.csv.3",2,361677,370098,"s",8421,"003KII_02.csv.3","003KII","003KII_02"
"003KII_02.csv.4",3,370099,382483,"m",12384,"003KII_02.csv.4","003KII","003KII_02"
"003KII_02.csv.5",4,382484,401382,"s",18898,"003KII_02.csv.5","003KII","003KII_02"
"003KII_02.csv.6",5,401383,638300,"m",236917,"003KII_02.csv.6","003KII","003KII_02"
"003KII_02.csv.7",6,638301,664609,"s",26308,"003KII_02.csv.7","003KII","003KII_02"
"003KII_02.csv.8",7,664610,708746,"m",44136,"003KII_02.csv.8","003KII","003KII_02"
"003KII_02.csv.9",8,708747,981335,"s",272588,"003KII_02.csv.9","003KII","003KII_02"
"003KII_02.csv.10",9,981336,1012201,"m",30865,"003KII_02.csv.10","003KII","003KII_02"
"003KII_02.csv.11",10,1012202,1027349,"s",15147,"003KII_02.csv.11","003KII","003KII_02"
"003KII_02.csv.12",11,1027350,1140588,"m",113238,"003KII_02.csv.12","003KII","003KII_02"
"003KII_02.csv.13",12,1140589,1264522,"s",123933,"003KII_02.csv.13","003KII","003KII_02"
"003KII_02.csv.14",13,1264523,1319087,"m",54564,"003KII_02.csv.14","003KII","003KII_02"
