"","code","subj","dur"
"1","m","003KII",896328
"2","s","003KII",5217860
"3","m","006MOI",87813
"4","s","006MOI",6445148
"5","m","008KEI",39086
"6","s","008KEI",6364043
"7","m","011MOI",186004
"8","s","011MOI",8874010
"9","m","013SAI",196059
"10","s","013SAI",8378750
"11","m","015KRI",560948
"12","s","015KRI",19252546
"13","m","015LAI",267133
"14","s","015LAI",16822183
"15","m","015THI",60444
"16","s","015THI",3711189
"17","m","017MAI",71986
"18","s","017MAI",14383410
"19","m","018KAI",12069
"20","s","018KAI",2580452
"21","m","023MMI",256325
"22","s","023MMI",16074091
"23","m","024DAI",564652
"24","s","024DAI",9282410
"25","m","024KAI",1703516
"26","s","024KAI",12657975
"27","m","025TAI",600424
"28","s","025TAI",9428564
"29","m","026SAI",289482
"30","s","026SAI",10947277
"31","m","028KUI",857923
"32","s","028KUI",6884954
"33","m","030JOI",1267470
"34","s","030JOI",15875218
"35","m","034SAI",2246322
"36","s","034SAI",12776128
"37","m","036NII",808667
"38","s","036NII",8763968
"39","m","036VII",3770784
"40","s","036VII",17716955
"41","m","037KAI",1777672
"42","s","037KAI",15597338
"43","m","038ALI",802417
"44","s","038ALI",7129555
"45","m","043GOI",3135835
"46","s","043GOI",14460884
"47","m","048REI",3319206
"48","s","048REI",7957078
"49","m","048YAI",3077390
"50","s","048YAI",13395289
"51","m","051SAI",197929
"52","s","051SAI",13183159
"53","m","052RDI",2078613
"54","s","052RDI",9984689
"55","m","054AJI",843013
"56","s","054AJI",1017265
"57","m","058LAI",912225
"58","s","058LAI",4566115
"59","m","063NII",180115
"60","s","063NII",1638099
