"","code","subj","dur"
"1","m","004AB",1727292
"2","s","004AB",11483889
"3","m","006AP",762073
"4","s","006AP",16197332
"5","m","007OW",149719
"6","s","007OW",1059107
"7","m","009SS",3745759
"8","s","009SS",9608716
"9","m","011EA",785859
"10","s","011EA",18770895
"11","m","012TT",2460841
"12","s","012TT",15610030
"13","m","013LS",3675130
"14","s","013LS",14778122
"15","m","015JM",132417
"16","s","015JM",7925480
"17","m","016TF",6642537
"18","s","016TF",12824776
"19","m","017EW",2984904
"20","s","017EW",21520013
"21","m","018MT",2111772
"22","s","018MT",17176010
"23","m","019JC",1011528
"24","s","019JC",15845222
"25","m","022JL",1042932
"26","s","022JL",15320507
"27","m","023NF",3863775
"28","s","023NF",23359621
"29","m","025TT",2011233
"30","s","025TT",15101939
"31","m","027SS",1837880
"32","s","027SS",17539309
"33","m","028CK",3197225
"34","s","028CK",9929377
"35","m","028KU",101612
"36","s","028KU",764858
"37","m","030FD",1701096
"38","s","030FD",14305979
"39","m","034JC",2917188
"40","s","034JC",11552339
"41","m","034NW",2230441
"42","s","034NW",13943308
"43","m","036MR",4081255
"44","s","036MR",12842601
"45","m","037SM",2440191
"46","s","037SM",11354422
"47","m","039ED",3583126
"48","s","039ED",17519019
"49","m","040ER",2296749
"50","s","040ER",17569546
"51","m","044ET",1635763
"52","s","044ET",18283479
"53","m","046TE",4633094
"54","s","046TE",19786786
"55","m","047MS",49464
"56","s","047MS",4224634
"57","m","048KG",4083682
"58","s","048KG",11881045
"59","m","050AB",4633943
"60","s","050AB",16173552
"61","m","051DW",3043637
"62","s","051DW",10883830
"63","m","053KD",2563098
"64","s","053KD",16907794
"65","m","057AP",2093410
"66","s","057AP",17578661
"67","m","062HW",7802238
"68","s","062HW",13206047
