"","ordinal","onset","offset","code","dur","moments","subj","clip"
"004AB_01.csv",0,0,1401,"_",1401,"004AB_01.csv","004AB","004AB_01"
"004AB_02.csv",0,0,1067,"_",1067,"004AB_02.csv","004AB","004AB_02"
"004AB_03.csv.1",0,0,15648,"_",15648,"004AB_03.csv.1","004AB","004AB_03"
"004AB_03.csv.2",1,15649,195939,"s",180290,"004AB_03.csv.2","004AB","004AB_03"
"004AB_03.csv.3",2,195939,214019,"m",18080,"004AB_03.csv.3","004AB","004AB_03"
"004AB_03.csv.4",3,214020,216069,"s",2049,"004AB_03.csv.4","004AB","004AB_03"
"004AB_03.csv.5",4,220887,233208,"m",12321,"004AB_03.csv.5","004AB","004AB_03"
"004AB_03.csv.6",5,233208,242760,"s",9552,"004AB_03.csv.6","004AB","004AB_03"
"004AB_03.csv.7",6,242761,244811,"m",2050,"004AB_03.csv.7","004AB","004AB_03"
"004AB_03.csv.8",7,244811,249484,"s",4673,"004AB_03.csv.8","004AB","004AB_03"
"004AB_03.csv.9",8,249485,261784,"m",12299,"004AB_03.csv.9","004AB","004AB_03"
"004AB_03.csv.10",9,261785,265966,"s",4181,"004AB_03.csv.10","004AB","004AB_03"
"004AB_03.csv.11",10,265967,277077,"m",11110,"004AB_03.csv.11","004AB","004AB_03"
"004AB_03.csv.12",11,277078,281956,"s",4878,"004AB_03.csv.12","004AB","004AB_03"
"004AB_03.csv.13",12,281957,289583,"m",7626,"004AB_03.csv.13","004AB","004AB_03"
"004AB_03.csv.14",13,289583,294482,"s",4899,"004AB_03.csv.14","004AB","004AB_03"
"004AB_03.csv.15",14,294483,308606,"m",14123,"004AB_03.csv.15","004AB","004AB_03"
"004AB_03.csv.16",15,308607,318611,"s",10004,"004AB_03.csv.16","004AB","004AB_03"
"004AB_03.csv.17",16,318612,320928,"m",2316,"004AB_03.csv.17","004AB","004AB_03"
"004AB_03.csv.18",17,320929,324309,"s",3380,"004AB_03.csv.18","004AB","004AB_03"
"004AB_03.csv.19",18,324310,332837,"m",8527,"004AB_03.csv.19","004AB","004AB_03"
"004AB_03.csv.20",19,332838,338454,"s",5616,"004AB_03.csv.20","004AB","004AB_03"
"004AB_03.csv.21",20,338455,343743,"m",5288,"004AB_03.csv.21","004AB","004AB_03"
"004AB_03.csv.22",21,343744,374540,"s",30796,"004AB_03.csv.22","004AB","004AB_03"
"004AB_03.csv.23",22,374541,379112,"_",4571,"004AB_03.csv.23","004AB","004AB_03"
"004AB_04.csv.1",0,0,13293,"s",13293,"004AB_04.csv.1","004AB","004AB_04"
