subj,sex,age.wks,country
004AB,M,4,U.S.
006AP,F,6,U.S.
007OW,M,7,U.S.
009SS,F,9,U.S.
011EA,F,11,U.S.
012TT,M,12,U.S.
013LS,M,13,U.S.
015JM,M,15,U.S.
016TF,M,16,U.S.
017EW,F,17,U.S.
018MT,F,18,U.S.
019JC,M,19,U.S.
022JL,M,22,U.S.
023NF,M,23,U.S.
025TT,M,25,U.S.
027SS,F,27,U.S.
028CK,M,28,U.S.
028KU,F,28,U.S.
030FD,M,30,U.S.
034JC,M,34,U.S.
034NW,M,34,U.S.
036MR,F,36,U.S.
037SM,F,37,U.S.
039ED,F,39,U.S.
040ER,F,40,U.S.
044ET,M,44,U.S.
046TE,M,46,U.S.
047MS,F,47,U.S.
048KG,M,48,U.S.
050AB,F,50,U.S.
051DW,M,51,U.S.
053KD,M,53,U.S.
057AP,F,57,U.S.
062HW,F,62,U.S.
003KII,F,3,India
006MOI,M,6,India
008KEI,M,8,India
011MOI,F,11,India
013SAI,F,13,India
015KRI,F,15,India
015LAI,M,15,India
015THI,F,15,India
017MAI,F,17,India
018KAI,M,18,India
023MMI,M,23,India
024DAI,F,24,India
024KAI,F,24,India
025TAI,M,25,India
026SAI,M,26,India
028KUI,F,28,India
030JOI,F,30,India
034SAI,F,34,India
036NII,F,36,India
036VII,M,36,India
037KAI,M,37,India
038ALI,M,38,India
043GOI,M,43,India
048REI,F,48,India
048YAI,F,48,India
051SAI,F,51,India
052RDI,F,52,India
054AJI,M,54,India
058LAI,F,58,India
063NII,M,63,India
